Plant type,Species (or community),MortalityRate,BirthRate
Land herbs and salt marsh plants,Allium tricoccum,0.00025,0.00086
Land herbs and salt marsh plants,Allium tricoccum,0.0006,0.00012
Land herbs and salt marsh plants,Allium tricoccum,0.00036,0.00038
Land herbs and salt marsh plants,Allium tricoccum,0.00092,0.00021
Land herbs and salt marsh plants,Anthoxanthum odoratum,0.00083,0.0017
Land herbs and salt marsh plants,Bashania fangiana,0.0012,0.00023
Land herbs and salt marsh plants,Brachypodium pinnatum,0.0014,0.02
Land herbs and salt marsh plants,Brachypodium pinnatum,0.0036,0.014
Land herbs and salt marsh plants,Brachypodium pinnatum,0.0042,0.011
Land herbs and salt marsh plants,Carex flacca,0.00022,0.0026
Land herbs and salt marsh plants,Carex flacca,0.00061,0.0027
Land herbs and salt marsh plants,Carex flacca,0.0015,0.0036
Land herbs and salt marsh plants,Catopsis juvenile,0.00084,0.00028
Land herbs and salt marsh plants,Catopsis ssp.,0.00074,0.00016
Land herbs and salt marsh plants,Dichaea neglecta,0.00015,0.0004
Land herbs and salt marsh plants,Encyclia ochracea,0.00011,8.9e-05
Land herbs and salt marsh plants,Eriophorum vaginatum,0.00027,0.00068
Land herbs and salt marsh plants,Eriophorum vaginatum,0.00042,0.00076
Land herbs and salt marsh plants,Fargesia robusta,0.00032,0.00018
Land herbs and salt marsh plants,Hieracium pilosella,0.0014,0.0023
Land herbs and salt marsh plants,Hieracium pilosella,0.00084,0.0019
Land herbs and salt marsh plants,Hieracium pilosella,0.0019,0.0011
Land herbs and salt marsh plants,Hieracium pilosella,0.00091,0.00061
Land herbs and salt marsh plants,Hieracium pilosella,0.0031,0.0016
Land herbs and salt marsh plants,Hieracium pilosella,0.0048,0.00084
Land herbs and salt marsh plants,Lycaste aromatica,0.00028,0.00023
Land herbs and salt marsh plants,Maianthemum canadense,0.0008,0.002
Land herbs and salt marsh plants,Maianthemum canadense,0.00075,0.0018
Land herbs and salt marsh plants,Maianthemum canadense,0.00082,0.0019
Land herbs and salt marsh plants,Maianthemum canadense,0.00076,0.0015
Land herbs and salt marsh plants,Maianthemum canadense,0.00048,0.0025
Land herbs and salt marsh plants,Panax quinquefolium,0.00028,0.00042
Land herbs and salt marsh plants,Peperomia quadrifolia,0.00025,0.0002
Land herbs and salt marsh plants,Peperomia reflexa,0.00024,0.0002
Land herbs and salt marsh plants,Plantago major,0.0013,0.0051
Land herbs and salt marsh plants,Plantago rugelii,0.0059,0.0038
Land herbs and salt marsh plants,Ranunculus acris,0.0015,0.0029
Land herbs and salt marsh plants,Ranunculus bulbosus,0.0022,0.003
Land herbs and salt marsh plants,Ranunculus repens,0.0017,0.0017
Land herbs and salt marsh plants,Solidago canadensis,0.0045,0.00079
Land herbs and salt marsh plants,Solidago canadensis,0.0022,0.0011
Land herbs and salt marsh plants,Spartina alterniflora,0.0021,0.0026
Land herbs and salt marsh plants,Spartina alterniflora,0.0023,0.0034
Land herbs and salt marsh plants,Spartina alterniflora,0.0019,0.0026
Land herbs and salt marsh plants,Spartina alterniflora,0.0021,0.0029
Land herbs and salt marsh plants,Tillandsia,0.0011,0.00099
Land herbs and salt marsh plants,Tillandsia,0.00059,8e-05
Land herbs and salt marsh plants,Tillandsia,0.00074,4.4e-05
Land herbs and salt marsh plants,Tillandsia juncea,0.00024,1.1e-05
Land herbs and salt marsh plants,Tillandsia punctulata,0.00027,2.5e-05
Land herbs and salt marsh plants,Typha latifolia,0.0038,0.003
Land herbs and salt marsh plants,Viola blanda,0.00087,0.0011
Land herbs and salt marsh plants,Viola blanda,0.00074,0.0018
