Plant type,Species (or community),MortalityRate,BirthRate
Seagrasses,Amphibolis antarctica,0.0016,0.0017
Seagrasses,Amphibolis griffithii,0.003,0.00094
Seagrasses,Cymodocea nodosa,0.0029,0.0012
Seagrasses,Cymodocea nodosa,0.0024,0.0024
Seagrasses,Cymodocea nodosa,0.0011,0.0028
Seagrasses,Cymodocea nodosa,0.0069,0.0046
Seagrasses,Cymodocea nodosa,0.0038,0.0034
Seagrasses,Cymodocea nodosa,0.0021,0.0049
Seagrasses,Cymodocea nodosa,0.0034,0.004
Seagrasses,Cymodocea nodosa,0.0018,0.0011
Seagrasses,Cymodocea nodosa,0.0019,0.0014
Seagrasses,Cymodocea nodosa,0.0033,0.0058
Seagrasses,Cymodocea nodosa,0.0017,0.0017
Seagrasses,Cymodocea nodosa,0.0038,0.0019
Seagrasses,Cymodocea nodosa,0.001,0.0019
Seagrasses,Cymodocea nodosa,0.0027,0.0032
Seagrasses,Cymodocea nodosa,0.0036,0.003
Seagrasses,Cymodocea nodosa,0.0034,0.0056
Seagrasses,Cymodocea nodosa,0.0011,0.0032
Seagrasses,Cymodocea nodosa,0.0016,0.0044
Seagrasses,Cymodocea nodosa,0.0019,0.0044
Seagrasses,Cymodocea nodosa,0.0067,0.008
Seagrasses,Cymodocea nodosa,0.004,0.0093
Seagrasses,Cymodocea nodosa,0.0065,0.0069
Seagrasses,Cymodocea nodosa,0.0064,0.0064
Seagrasses,Cymodocea nodosa,0.0014,0.0026
Seagrasses,Cymodocea nodosa,0.0022,0.0028
Seagrasses,Cymodocea nodosa,0.0057,0.0044
Seagrasses,Cymodocea nodosa,0.0038,0.00036
Seagrasses,Cymodocea nodosa,0.01,0.0065
Seagrasses,Cymodocea nodosa,0.0033,0.00075
Seagrasses,Cymodocea nodosa,0.0028,0.00039
Seagrasses,Cymodocea nodosa,0.0029,0.00081
Seagrasses,Cymodocea nodosa,0.0045,0.0024
Seagrasses,Cymodocea nodosa,0.0024,0.0023
Seagrasses,Cymodocea nodosa,0.0026,0.0022
Seagrasses,Cymodocea nodosa,0.0085,0.0037
Seagrasses,Cymodocea nodosa,0.00099,0.00029
Seagrasses,Cymodocea nodosa,0.00093,0.00078
Seagrasses,Cymodocea rotundata,0.0022,0.003
Seagrasses,Cymodocea serrulata,0.0079,0.0086
Seagrasses,Enhalus acoroides,0.00064,0.00072
Seagrasses,Heterozostera tasmanica,0.01,0.0026
Seagrasses,Halodule uninervis,0.005,0.0057
Seagrasses,Halodule wrightii,0.0098,0.012
Seagrasses,Posidonia angustifolia,0.0034,0.0021
Seagrasses,Posidonia australis,0.001,0.0013
Seagrasses,Posidonica oceanica,0.0005,8.3e-05
Seagrasses,Posidonica oceanica,0.00022,0.00031
Seagrasses,Posidonica oceanica,0.0015,0.00014
Seagrasses,Posidonica oceanica,0.0013,0.00044
