Plant type,Species (or community),MortalityRate,BirthRate
Trees,Alchornea latifolia,3.3e-05,3.3e-05
Trees,Camelia japonica,1.5e-05,1.6e-05
Trees,Camelia sasnqua,1.4e-05,3e-05
Trees,Chaetocarpus globosus,8.3e-06,1.4e-05
Trees,Clethra occidentalis,1.7e-05,5.6e-06
Trees,Cleyera japonica,3.1e-05,2.5e-05
Trees,Clusia havetioides,5.6e-06,4.7e-05
Trees,Cyathea pubescens,4.4e-05,1.1e-05
Trees,Cyrilla racemiflora,2.8e-05,1.1e-05
Trees,Dendropanax pendulus,1.7e-05,5e-05
Trees,Desmopsis juveniles,8.6e-05,0.00013
Trees,Distylium racemosum,2.1e-05,1.9e-05
Trees,Dryobalanops lanceolata,2.9e-05,1.7e-05
Trees,Eugenia virgultosa,8.3e-06,6.4e-05
Trees,Eurya japonica,5.5e-05,7e-05
Trees,Faramea juveniles,2.8e-05,9.2e-05
Trees,Guarea glabra,8.3e-06,8e-05
Trees,Hedyosmum arborescens,4.4e-05,5.8e-05
Trees,Ilex macfadyenii,8.1e-05,6.7e-05
Trees,Illicium anisatum,4.9e-05,6e-05
Trees,Litsea acuminata,5.6e-05,8.7e-05
Trees,Lyonia octandra,1.7e-05,1.7e-05
Trees,Mecranium purpurascens,0.00012,0.00011
Trees,Meriania purpurea,3.6e-05,2.5e-05
Trees,Myrsine seguinii,2.2e-05,7e-05
Trees,Neolitsea aciculata,5.3e-05,6.4e-05
Trees,Parashorea macrophylla,7.1e-05,1.5e-05
Trees,Podocarpus nagi,6.1e-05,9.1e-05
Trees,Podocarpus urbanii,1.7e-05,2.8e-05
Trees,Psychotria corymbosa,0.00011,0.00015
Trees,Rhododendron tashiroi,8.3e-05,4.9e-05
Trees,Sideroxylon montanum,3.3e-05,2.2e-05
Trees,Symplocos glauca,0.00012,0.0001
Trees,Symplocos prunifolia,0.00014,0.00031
Trees,Symplocos tanakae,9.1e-05,4.4e-05
Trees,Thuja occidentalis,8.7e-06,1.1e-05
Trees,Thuja occidentalis,5.6e-06,1.3e-05
Trees,Thuja occidentalis,9.9e-06,1.3e-05
Trees,Thuja occidentalis,6.1e-06,5.6e-06
Trees,Thuja occidentalis,3.4e-06,7.1e-06
Trees,Thuja occidentalis,1e-05,1.1e-05
Trees,Thuja occidentalis,8.7e-06,5.6e-06
Trees,Thuja occidentalis,1.3e-05,5.8e-06
Trees,Thuja occidentalis,9.2e-06,5.6e-06
Trees,Thuja occidentalis,2.5e-05,9.4e-06
Trees,Thuja occidentalis,1.4e-05,1.5e-05
Trees,Thuja occidentalis,3.5e-05,1.1e-05
Trees,Thuja occidentalis,2.4e-05,5.1e-06
Trees,Thuja occidentalis,2.2e-05,3e-06
Trees,Thuja occidentalis,1.9e-05,6.5e-06
Trees,Thuja occidentalis,4.9e-05,1.8e-05
Trees,Thuja occidentalis,4.5e-05,1.5e-05
Trees,Thuja occidentalis,4.2e-05,3e-05
Trees,Thuja occidentalis,8.2e-07,2.1e-05
Trees,Thuja occidentalis,5.9e-06,3.2e-05
Trees,Thuja occidentalis,1.2e-05,2.6e-05
Trees,Thuja occidentalis,1.6e-05,4e-06
Trees,Vaccinium meridionale,4.4e-05,4.4e-05
